87,Rillbank Crescent,EH9 1LJ,55.9393939,-3.1896887,17
88,Spittal Street,EH3 9AR,55.9462207,-3.2031494,6
89,Dalkeith Road,EH16 5AH,55.9352504,-3.1689161,17
90,Drum Brae Gardens,EH12 8SY,55.9486438,-3.2936983,9
91,Gladstone Place,EH6 7LX,55.9699043,-3.1591206,8
92,Forkenford,EH16 4EZ,55.936412,-3.1442467,17
93,Bonnington Avenue,EH6 5QH,55.972138,-3.1880854,12
94,Mcleod Street,EH11 2ND,55.9395389,-3.2308777,13
95,Durar Drive,EH4 7HW,55.952542,-3.2913325,9
96,Kyle Place,EH7 5XH,55.956651,-3.1715014,6
97,Fairbrae,EH11 3GZ,55.9270074,-3.27284,13
98,Westfield Court,EH11 2RH,55.9369865,-3.2425772,13
99,Meadowbank Terrace,EH8 7AJ,55.9547911,-3.1562781,1
100,Albany Lane,EH1 3QP,55.9576799,-3.1911016,6
101,Cammo Brae,EH4 8ET,55.9594634,-3.3142107,14
102,South Mellis Park,EH8 7TP,55.9536473,-3.1381538,1
103,Lasswade Road,EH17 8JA,55.9036484,-3.1480282,16
104,Silverknowes Court,EH4 5NP,55.9697765,-3.2694854,14
105,Parkhead Loan,EH11 4RE,55.9246062,-3.2701037,13
106,Riddles Close,EH1 3EG,55.953252,-3.188267,6
107,Rannoch Place,EH4 7HH,55.9550245,-3.2845449,9
108,Thomson Grove,EH14 5HZ,55.9006913,-3.301459,10
109,Newington Road,EH9 1QU,55.9382354,-3.1787945,17
110,Liberton Road,EH16 5QT,55.9230812,-3.1671113,16
111,House O'Hill Row,EH4 2AW,55.9628068,-3.2575141,4
112,Barnton Loan,EH4 6JQ,55.9663258,-3.2825997,14
113,Corslet Crescent,EH14 5HR,55.8994997,-3.304657,10
114,Oxgangs Broadway,EH13 9LQ,55.9056481,-3.2227626,5
115,Wardieburn Place South,EH5 1DX,55.977295,-3.2266429,7
116,Hallcroft Rise,EH28 8RX,55.9212899,-3.3901983,10
117,Broad Wynd,EH6 6QZ,55.9756477,-3.1696753,8
118,Buckstone Green,EH10 6UF,55.9062104,-3.2006348,5
119,Salvesen Street,EH4 5JX,55.9754122,-3.2554493,7
120,Craighouse Avenue,EH10 5LN,55.9240201,-3.2228475,3
121,Strachan Gardens,EH4 3RY,55.957944,-3.2611173,4
122,Burnets Close,EH1 1QU,55.9497514,-3.1889794,6
123,West Werberside,EH4 1SX,55.9671532,-3.2301019,4
124,Kerr Street,EH3 6EG,55.957626,-3.2080435,4
125,Academy Street,EH6 7EF,55.9705437,-3.1700379,8
126,Meadowfield Gardens,EH8 7NT,55.9441421,-3.1425291,1
127,Stuart Wynd,EH12 8XU,55.9488362,-3.3035919,9
128,St Leonards Bank,EH8 9SQ,55.9429464,-3.1763184,17
129,Carmel Road,EH29 9DD,55.9552028,-3.4087083,14
130,Rowantree Grove,EH14 5AT,55.8936329,-3.3246973,10
131,Seacot,EH6 7QG,55.9682664,-3.1501905,8
132,Redford Walk,EH13 0AG,55.9064085,-3.2430596,5
133,Currievale Drive,EH14 5RP,55.89691,-3.3240963,10
134,Alnwickhill Grove,EH16 6YA,55.9052456,-3.1712442,16
135,Deanpark Court,EH14 7EG,55.879687,-3.3453398,10
136,Corstorphine House Terrace,EH12 7AD,55.9415224,-3.2799596,15
137,Browns Place,EH1 2HX,55.9465744,-3.1969364,6
138,Brandon Street,EH3 5DX,55.9613423,-3.2014541,4
139,Carricknowe Loan,EH12 7DZ,55.9345272,-3.2747056,15
140,Woodhall Avenue0,EH14 5BU,55.9057712,-3.2819139,10
141,Figgate Street,EH15 1JQ,55.9545187,-3.1152819,11
142,Grove Street,EH3 8FF,55.9445293,-3.2120024,2
143,Annandale Street Lane,EH7 4LS,55.96098,-3.1824581,12
144,Corstorphine Hill Avenue,EH12 6LF,55.9463785,-3.2767827,15
145,Coben Road,EH9 2BJ,55.9324681,-3.1709715,17
146,Bruntsfield Place,EH10 4HG,55.9376375,-3.2061149,3
147,Brunstane Crescent,EH15 2NX,55.9440469,-3.0921491,11
148,Richmond Place,EH8 9ST,55.9464663,-3.1833126,17
149,Moredun Park Court,EH17 7EY,55.9129876,-3.1396709,16
150,Foulis Crescent ,EH14 5BN,55.9063908,-3.2802562,10
151,Woodhall Drive,EH14 5BT,55.9045517,-3.2846968,10
152,Clarebank Crescent,EH6 7NJ,55.968258,-3.1567154,8
153,Haughhead Farm,EH1 3EG,55.953252,-3.188267,6
154,Echline Gardens,EH30 9UT,55.9874239,-3.4145654,14
155,North Street Ratho,EH28 8RR,55.9215719,-3.3842281,10
156,Maxwell Street,EH10 5HU,55.9261476,-3.2119207,3
157,Campbell Park Drive,EH13 0HS,55.9031289,-3.2711748,5
158,Cleikiminrig,EH15 3QZ,55.9327371,-3.1099153,11
159,Spa Place,EH15 1TR,55.9553703,-3.114449,11
160,Bingham Avenue,EH15 3JB,55.9398464,-3.1223339,11
161,Hillview Road,EH12 8QF,55.9475673,-3.2879445,15
162,Beresford Place,EH5 3SL,55.975353,-3.2037314,7
163,Kirk Cramond,EH4 6NS,55.9781653,-3.2995667,14
164,Craigleith Hill,EH4 2EG,55.9568962,-3.2384128,4
165,Western Terrace,EH12 5QD,55.9447673,-3.2482319,15
166,Scotstoun Green Sq Ferry,EH1 3EG,55.953252,-3.188267,6
167,Moredun Dykes Road,EH17 8PT,55.9059501,-3.1380525,16
168,Wardie House Lane,EH5 3RL,55.9795937,-3.213892,7
169,Westerhailes Park,EH14 3AG,55.9137886,-3.2783014,10
170,Marchall Place,EH8 9BJ,55.9457401,-3.1866497,17
171,Church Hill Place,EH10 4BD,55.9321571,-3.2094347,3
172,Craigmount Loan,EH12 8DJ,55.9506819,-3.2991709,9
173,Wolrige Road,EH16 6HX,55.9148725,-3.1637904,16
174,Riselaw Crescent,EH10 6HN,55.9127749,-3.2112559,3
175,Ferry Road Place,EH4 4AX,55.9683032,-3.2460188,7
176,Comiston Drive,EH10 5QS,55.9202418,-3.2169675,3
177,Alderbank Terrace,EH11 1SZ,55.9312623,-3.2323928,2
178,Hillend Place,EH8 7AE,55.9548893,-3.1513231,1
179,Swanston Village,EH10 7DT,55.887753,-3.217244,5
180,Upper Dean Place,EH4 1NU,55.9559696,-3.211505,4
181,Southfield Terrace,EH15 1RE,55.943412,-3.1290636,1
182,Cavalry Park Drive,EH15 3QG,55.9411921,-3.1403515,1
183,Echline Place,EH30 9XB,55.986966,-3.4127196,14
184,West Bow,EH1 2LJ,55.9475383,-3.1962969,6
185,Baird Avenue,EH12 5RU,55.9403003,-3.249547,15
186,Balgreen Gardens ,EH12 5UG,55.9414003,-3.2583477,15
187,South Steil,EH10 5XF,55.9169792,-3.2272856,2
188,St Andrews Square,EH2 2LL,55.9542321,-3.1936847,6
189,Boswell Place,EH5 3RE,55.97467,-3.21512,7
190,Inglis Green Road,EH14 2EP,55.923988,-3.2525478,13
191,Whins Place,EH15 1JQ,55.9543708,-3.1150314,11
192,Dumbryden Drive,EH14 2AA,55.919876,-3.2726683,13
193,Baberton Mains Wynd,EH14 5DU,55.9072958,-3.2859089,10
194,Grays Court,EH1 1NL,55.9495048,-3.1849083,6
195,Pilrig Gardens,EH6 5AZ,55.9669121,-3.1834533,12
196,North Gyle Road,EH12 8ER,55.9435308,-3.3014894,9
197,Peffer Place Industrial Estate,EH1 3EG,55.953252,-3.188267,6
198,Vivian Terrace,EH4 5DZ,55.9649404,-3.2672782,14
