Craiglockhart Crescent,EH14 1EZ,55.9189932,-3.2450619
Cameron Park,EH16 5LA,55.930226,-3.1614447
Murrayfield Road,EH12 6ER,55.9480684,-3.247708
Bread Street Lane,EH3 9AF,55.9455499,-3.20454
Rillbank Crescent,EH9 1LJ,55.9393939,-3.1896887
Spittal Street,EH3 9AR,55.9462207,-3.2031494
Dalkeith Road,EH16 5AH,55.93525039999999,-3.1689161
Drum Brae Gardens,EH12 8SY,55.9486438,-3.2936983
Gladstone Place,EH6 7LX,55.9699043,-3.1591206
Gorgie Road,EH11 2RN,55.9352998,-3.2426261
Forkenford,EH16 4EZ,55.936412,-3.1442467
Bonnington Avenue,EH6 5QH,55.972138,-3.1880854
McLeod Street,EH11 2ND,55.9395389,-3.2308777
Durar Drive,EH4 7HW,55.95254199999999,-3.2913325
Kyle Place,EH7 5XH,55.956651,-3.1715014
Fairbrae,EH11 3GZ,55.9270074,-3.27284
Alexander Drive,EH11 2RH,55.9369865,-3.2425772
Meadowbank Crescent,EH8 7AJ,55.95479109999999,-3.1562781
Albany Lane,EH1 3QP,55.9576799,-3.1911016
Cammo Brae,EH4 8ET,55.9594634,-3.3142107
South Mellis Park,EH8 7TP,55.9536473,-3.1381538
Lasswade Road,EH17 8JA,55.90364839999999,-3.1480282
Silverknowes Court,EH4 5NP,55.9697765,-3.2694854
Parkhead Terrace,EH11 4RE,55.92460620000001,-3.2701037
Waterloo Place,EH1 3EG,55.953252,-3.188267
Eildon Street,EH3 5JU,55.96616179999999,-3.2017302
Rannoch Place,EH4 7HH,55.9550245,-3.2845449
Thomson Grove,EH14 5HZ,55.9006913,-3.301459
Sunnyside,EH7 5RA,55.9607689,-3.1700102
Rosebery Avenue,EH30 9JD,55.9859905,-3.3924151
Whitingford,EH6 5TB,55.9715377,-3.188398
West Newington Place,EH9 1QU,55.9382354,-3.1787945
Mid Liberton,EH16 5QT,55.9230812,-3.1671113
House O'Hill Row,EH4 2AW,55.9628068,-3.2575141
Barnton Loan,EH4 6JQ,55.9663258,-3.2825997
Corslet Crescent,EH14 5HR,55.89949970000001,-3.304657
Oxgangs Broadway,EH13 9LQ,55.9056481,-3.2227626
Wardieburn Place South,EH5 1DX,55.977295,-3.2266429
Hallcroft Rise,EH28 8RX,55.9212899,-3.3901983
Broad Wynd,EH6 6QZ,55.9756477,-3.1696753
Buckstone Green,EH10 6UF,55.9062104,-3.2006348
Blackford Road,EH9 2DT,55.93243159999999,-3.1953546
Salvesen Gardens,EH4 5JX,55.9754122,-3.2554493
Craighouse Avenue,EH10 5LN,55.9240201,-3.2228475
Carfrae Road,EH4 3RY,55.957944,-3.2611173
Albert Place,EH21 8LD,55.9377325,-3.0125048
High Street,EH1 1QU,55.9497514,-3.1889794
West Werberside,EH4 1SX,55.96715320000001,-3.2301019
Gloucester Street,EH3 6EG,55.957626,-3.2080435
Academy Street,EH6 7EF,55.9705437,-3.1700379
Meadowfield Gardens,EH8 7NT,55.9441421,-3.1425291
Stuart Wynd,EH12 8XU,55.9488362,-3.3035919
Saint Leonard's Bank,EH8 9SQ,55.9429464,-3.1763184
Marshall Road,EH29 9DD,55.9552028,-3.4087083
Rowantree Grove,EH14 5AT,55.8936329,-3.3246973
Freelands Road,EH28 8NW,55.92944079999999,-3.36592
Roseneath Terrace,EH9 1JL,55.93890620000001,-3.1914437
Seacot,EH6 7QG,55.9682664,-3.1501905
Redford Walk,EH13 0AG,55.9064085,-3.2430596
Currievale Drive,EH14 5RP,55.89691,-3.3240963
Alnwickhill Grove,EH16 6YA,55.9052456,-3.1712442
Deanpark Court,EH14 7EG,55.879687,-3.3453398
Corstorphine House Avenue,EH12 7AD,55.9415224,-3.2799596
Brown's Place,EH1 2HX,55.9465744,-3.1969364
Torphichen Street,EH3 8HX,55.9470235,-3.2130824
Brandon Street,EH3 5DX,55.9613423,-3.2014541
Carrick Knowe Loan,EH12 7DZ,55.9345272,-3.2747056
Great Stuart Street,EH3 7TN,55.9528566,-3.2107054
Woodhall Avenue,EH14 5BU,55.9057712,-3.2819139
Whins Place,EH15 1JQ,55.95451869999999,-3.1152819
Grove Street,EH3 8FF,55.9445293,-3.2120024
Annandale Street Lane,EH7 4LS,55.96098,-3.1824581
Corstorphine Hill Avenue,EH12 6LF,55.94637849999999,-3.2767827
Cobden Road,EH9 2BJ,55.93246809999999,-3.1709715
Bruntsfield Place,EH10 4HG,55.9376375,-3.2061149
Brunstane Crescent,EH15 2NX,55.9440469,-3.0921491
Richmond Place,EH8 9ST,55.9464663,-3.1833126
Trafalgar Street,EH6 4DG,55.9734892,-3.1854992
Moredun Park Court,EH17 7EY,55.9129876,-3.1396709
Warriston Farm Road,EH14 4AF,55.9068651,-3.3377763
Foulis Crescent,EH14 5BN,55.9063908,-3.2802562
Woodhall Drive,EH14 5BT,55.9045517,-3.2846968
Clarebank Crescent,EH6 7NJ,55.968258,-3.1567154
Waterloo Place,EH1 3EG,55.953252,-3.188267
Echline Gardens,EH30 9UT,55.9874239,-3.4145654
North Street,EH28 8RR,55.9215719,-3.3842281
Maxwell Street,EH10 5HU,55.9261476,-3.2119207
Campbell Park Drive,EH13 0HS,55.9031289,-3.2711748
Hillside Street,EH7 5EA,55.9582434,-3.1780775
Cleikiminrig,EH15 3QZ,55.9327371,-3.1099153
Spa Place,EH15 1TR,55.9553703,-3.114449
Buccleuch Street,EH8 9LS,55.9424256,-3.1842824
Muirhouse Drive,EH4 4TN,55.9713017,-3.2601153
Bingham Avenue,EH15 3JB,55.9398464,-3.1223339
