Recorded,StreetName,dog_foul,vandalism,graffiti,weeds,detritus,fly_posting,bin_count,number_overflowing,smoking,drinks,confectionary,fast_food,pedestrian_individual,business,domestic,construction,animal_faeces,other
12/05/2008,East Market Street,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
12/05/2008,College Wynd,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
12/05/2008,Browns Place,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
12/05/2008,Grindlay Street,1,1,1,1,1,1,2,0,1,0,0,0,1,0,0,0,0,0
12/05/2008,Baxters Place,1,1,1,1,1,1,2,0,1,0,0,0,1,0,0,0,0,0
22/04/2008,South Ettrick Road,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
22/04/2008,Mortonhall Road,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
22/04/2008,Nellfield,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
22/04/2008,Mayfield Gardens Lane,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
22/04/2008,Craigour Loan,1,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0
22/04/2008,Mentone Gardens,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
17/06/2008,Broomhall Bank,1,1,1,3,2,1,0,0,1,0,1,0,1,0,0,0,0,0
17/06/2008,Ellersly Road,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
17/06/2008,Ormidale Terrace,1,1,1,3,2,1,0,0,1,1,0,0,1,0,0,0,0,0
17/06/2008,Ravelston Terrace,1,1,1,3,2,1,0,0,1,0,1,0,1,0,0,0,0,0
17/06/2008,Blinkbonny Grove,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
17/06/2008,Carricknowe Loan,1,1,1,3,2,1,0,0,1,1,0,0,1,0,0,0,0,1
17/06/2008,Corstorphine High Street,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
17/06/2008,South Beechwood,1,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
17/06/2008,Craigs Drive,1,1,1,3,2,1,0,0,1,1,0,0,1,0,0,0,0,0
17/06/2008,Fox Covert Grove,1,1,1,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0
17/06/2008,North Bughtlin Gate,1,1,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
17/06/2008,Bughtlin Park,1,1,1,4,3,1,0,0,1,0,1,0,1,0,0,0,0,0
09/06/2008,Bughtlin Park,3,1,1,4,3,1,0,0,1,1,1,1,1,1,1,0,1,1
09/06/2008,Maybury Road,1,1,1,4,2,1,0,0,1,1,0,0,1,1,0,1,0,1
09/06/2008,Maybury Road,1,1,1,4,2,1,0,0,1,1,0,0,1,1,0,1,0,1
09/06/2008,Maybury Road,1,1,1,4,2,1,0,0,1,1,0,0,1,1,0,0,0,1
09/06/2008,Maybury Road,1,1,1,4,2,1,0,0,1,1,0,0,1,1,0,0,0,1
09/06/2008,Redheughs Avenue,1,1,1,3,2,1,0,0,1,1,0,0,1,1,0,0,0,1
09/06/2008,Barnton Avenue,1,1,1,4,2,1,0,0,1,0,1,0,1,0,0,0,0,0
09/06/2008,Barnton Avenue,1,1,1,4,2,1,0,0,1,0,1,0,1,0,0,0,0,1
09/06/2008,Avon Grove,2,1,1,3,2,1,0,0,1,0,0,1,1,0,0,0,1,1
09/06/2008,Barnton Park Wood,2,1,1,4,2,1,0,0,1,0,1,0,1,0,0,0,1,1
09/06/2008,Scotstoun Park,1,1,1,4,2,1,0,0,1,0,1,0,1,0,0,0,0,1
18/06/2008,Parkgrove Row,1,1,1,3,2,1,0,0,1,0,0,0,1,0,0,0,0,1
24/06/2008,Carlton Street,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
24/06/2008,Moray Place,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
24/06/2008,Northumberland Street,1,1,1,1,2,1,0,0,1,0,0,1,1,0,1,0,0,0
24/06/2008,Forth Street,1,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0
24/06/2008,St Ninians Row,1,1,1,1,2,1,0,0,1,1,1,0,1,1,0,0,0,1
24/06/2008,North Grays Close,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
24/06/2008,Potterrow,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
24/06/2008,Holyrood Park Road,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
24/06/2008,Cluny Gardens,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0
24/06/2008,St Davids Place,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0
24/06/2008,Torphichen Place,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
24/06/2008,Bath Street Lane,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
24/06/2008,Pittville Street Lane,3,1,1,3,2,1,0,0,0,0,1,0,1,0,0,0,1,0
24/06/2008,Brunstane Crescent,1,1,1,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
24/06/2008,Durham Drive,1,1,1,2,1,1,0,0,0,1,0,1,1,0,0,0,0,0
24/06/2008,Cleikiminrig,1,1,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0
24/06/2008,Greendykes Avenue,1,1,1,3,2,1,0,0,0,1,1,1,1,1,0,0,0,0
24/06/2008,Campbells Close,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
24/06/2008,Thorntree Side,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
24/06/2008,Sunnyside,1,1,1,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0
24/06/2008,Lochend Road,1,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0
24/06/2008,Loganlea Place,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0
24/06/2008,New Tower Place,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0
24/06/2008,Greendykes Loan,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24/06/2008,Craigmillar Park,1,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0
24/06/2008,Craigour Drive,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
24/06/2008,East Farm of Gilmerton,1,1,1,2,1,1,0,0,1,1,1,0,1,0,0,0,0,0
