37,Ardshiel Avenue,EH4 7LH,9,55.9529428,-3.2906099,25/02/2009,3,2,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,1,0
38,Gogar Station,EH12 9BS,14,55.9291069,-3.325867,15/10/2010,3,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1
39,Robertson Close,EH1 1LU,6,55.9484987,-3.1859952,20/01/2011,1,2,1,3,1,2,2,0,0,1,1,0,0,1,1,1,0,1,0
40,Durham Avenue,EH15 1RY,1,55.9462011,-3.1256204,,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
41,Priory Grove,EH30 9LZ,14,55.9852464,-3.3994795,09/06/2010,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
42,Parliament Square,EH1 1RF,6,55.9492163,-3.1902983,10/06/2009,1,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
43,Echline Drive,EH30 9UX,14,55.9865049,-3.4155481,09/12/2008,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
44,Gillsland Road,EH10 5BL,3,55.9320996,-3.2216976,22/02/2011,3,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0
45,Roull Road,EH12 7JW,15,55.9359031,-3.2808765,10/06/2009,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
46,Torduff Road,EH13 0PA,5,55.8959358,-3.270954,11/02/2011,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
47,Sighthill Drive,EH11 4QJ,13,55.9197606,-3.2831379,27/01/2010,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
48,Dalmahoy Crescent,EH14 7BX,10,55.8903051,-3.3413003,14/10/2008,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
49,Broughton Road,EH7 4QH,12,55.9653655,-3.1899846,25/06/2009,2,1,2,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0
50,Walkers Wynd,EH14 2TD,13,55.916778,-3.2764967,28/04/2008,2,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
51,Admiral Terrace,EH10 4JH,3,55.9382206,-3.2083627,17/09/2008,2,1,1,2,1,2,1,0,0,1,1,1,1,1,0,0,0,0,0
52,Braid Hills Cres,EH10 6LJ,3,55.9168728,-3.2097538,,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
53,Bramble Drive,EH4 8BW,9,55.9579551,-3.3048606,28/04/2010,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
54,Hyvot Mill Drive,EH17 8NE,16,55.9053804,-3.1416107,26/04/2010,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
55,Jane Terrace,EH6 5NA,8,55.9700627,-3.1752044,18/08/2008,2,1,1,1,3,2,1,0,0,1,0,1,0,1,0,0,0,0,0
56,Marchbank Way,EH14 7LW,10,55.8804316,-3.3408033,27/01/2009,3,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
57,The Crescent (Morningside Rd),EH10 5NX,3,55.9241702,-3.211977,17/09/2008,3,1,1,1,1,3,1,0,0,0,1,0,1,1,0,0,0,0,0
58,Meggetland View,EH14 1XT,2,55.9263463,-3.2370096,10/06/2010,3,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
59,Barnton Park Crescent ,EH4 6EP,14,55.9612781,-3.2967243,12/06/2009,3,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
60,Cadiz Street,EH6 7BJ,8,55.9749128,-3.1642983,13/04/2009,2,2,1,1,2,2,1,0,0,1,1,1,1,1,0,1,0,1,0
61,Greendykes Loan,EH16 4HG,11,55.928411,-3.1285687,24/06/2008,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
62,Newmains Farm La,EH1 3EG,6,55.953252,-3.188267,,3,1,1,2,3,3,1,0,0,1,0,0,0,1,0,0,0,0,0
63,Upper Damside,EH4 3AY,4,55.9524482,-3.2187621,28/04/2008,3,1,1,1,2,2,1,0,0,1,1,0,1,1,0,1,0,0,0
64,Hillwood Road,EH28 8PU,14,55.9376249,-3.3902866,28/04/2010,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
65,Cba,EH1 3EG,6,55.953252,-3.188267,,3,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
66,Glenogle Road,EH3 5HT,4,55.9614081,-3.2062933,02/02/2011,2,1,1,1,2,3,1,0,0,1,0,0,0,1,0,0,0,0,0
67,Thornville Terrace,EH6 8DB,8,55.9663811,-3.162518,28/04/2008,2,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
68,Succoth Gardens,EH12 6BS,15,55.9499809,-3.2379987,27/01/2011,3,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0
69,Kingsknowe Park,EH14 2JQ,10,55.9164015,-3.2608986,09/09/2009,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
70,Telford Gardens ,EH4 2PU,4,55.9641121,-3.2393939,11/06/2010,3,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0
71,Beach Lane,EH15 1HU,11,55.9547073,-3.1139908,07/04/2008,2,1,1,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0
72,Royal Park Terrace,EH8 8JB,1,55.9547061,-3.1602776,26/10/2010,2,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0
73,Brighouse Park Cross,EH4 6GZ,14,55.9758138,-3.2952909,28/04/2010,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
74,West Mains Road,EH9 3JE,17,55.9245732,-3.1772136,17/12/2009,3,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
75,Muirhouse Parkway,EH4 5JJ,7,55.9739092,-3.259968,,2,3,3,3,2,2,1,0,0,1,1,1,1,1,0,1,0,1,0
76,Monkbarns Gardens,EH16 6DG,16,55.9162086,-3.1584711,08/09/2009,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
77,Bell Place,EH3 5HU,4,55.9617814,-3.2068537,14/12/2008,2,1,1,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,1
78,Chesser Crescent,EH14 1SP,2,55.9310472,-3.2486591,11/02/2011,3,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
79,Glenallan Drive,EH16 5RA,16,55.9235111,-3.1571756,17/12/2009,3,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
80,Brae Park,EH4 6DJ,14,55.9658973,-3.3112088,27/10/2009,3,1,1,1,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0
81,Park Terrace,EH4 1DP,4,55.9603104,-3.2175518,09/01/2009,3,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0
82,Parkhead View,EH11 4RU,13,55.9226301,-3.2781033,14/04/2010,3,1,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0
83,Craiglockhart Crescent,EH14 1EZ,2,55.9189932,-3.2450619,22/02/2011,3,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
84,Cameron Park,EH16 5LA,17,55.930226,-3.1614447,26/04/2010,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
85,Murrayfield Road,EH12 6ER,15,55.9480684,-3.247708,21/10/2008,3,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
86,Bread Street Lane,EH3 9AF,6,55.9455499,-3.20454,24/06/2009,1,1,1,1,3,1,1,0,0,1,1,1,1,1,0,0,0,0,0
87,Rillbank Crescent,EH9 1LJ,17,55.9393939,-3.1896887,,2,1,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0
88,Spittal Street,EH3 9AR,6,55.9462207,-3.2031494,09/06/2010,1,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0
89,Dalkeith Road,EH16 5AH,17,55.9352504,-3.1689161,08/09/2009,3,1,1,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0
90,Drum Brae Gardens,EH12 8SY,9,55.9486438,-3.2936983,25/02/2009,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
91,Gladstone Place,EH6 7LX,8,55.9699043,-3.1591206,16/12/2009,3,1,1,1,1,3,2,0,0,1,1,1,0,1,0,0,0,0,0
92,Forkenford,EH16 4EZ,17,55.936412,-3.1442467,05/02/2011,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
93,Bonnington Avenue,EH6 5QH,12,55.972138,-3.1880854,29/04/2010,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,1
94,Mcleod Street,EH11 2ND,13,55.9395389,-3.2308777,08/06/2010,2,1,1,1,1,1,1,2,0,0,0,1,0,1,0,0,0,0,0
95,Durar Drive,EH4 7HW,9,55.952542,-3.2913325,03/09/2008,3,1,1,1,2,2,1,0,0,1,1,1,1,1,0,1,0,0,0
96,Kyle Place,EH7 5XH,6,55.956651,-3.1715014,28/10/2010,2,1,1,2,4,3,1,0,0,1,0,0,0,1,0,0,0,0,0
97,Fairbrae,EH11 3GZ,13,55.9270074,-3.27284,10/06/2009,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,Westfield Court,EH11 2RH,13,55.9369865,-3.2425772,09/09/2009,2,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
99,Meadowbank Terrace,EH8 7AJ,1,55.9547911,-3.1562781,26/10/2010,2,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
100,Albany Lane,EH1 3QP,6,55.9576799,-3.1911016,22/02/2011,2,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
101,Cammo Brae,EH4 8ET,14,55.9594634,-3.3142107,27/01/2011,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
102,South Mellis Park,EH8 7TP,1,55.9536473,-3.1381538,,3,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
103,Lasswade Road,EH17 8JA,16,55.9036484,-3.1480282,23/06/2010,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
104,Silverknowes Court,EH4 5NP,14,55.9697765,-3.2694854,18/08/2008,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
105,Parkhead Loan,EH11 4RE,13,55.9246062,-3.2701037,11/02/2011,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
106,Riddles Close,EH1 3EG,6,55.953252,-3.188267,19/09/2008,1,1,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0
107,Rannoch Place,EH4 7HH,9,55.9550245,-3.2845449,18/08/2008,3,1,1,1,3,3,1,0,0,0,1,1,0,1,0,0,0,0,0
108,Thomson Grove,EH14 5HZ,10,55.9006913,-3.301459,11/02/2011,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
109,Newington Road,EH9 1QU,17,55.9382354,-3.1787945,22/02/2011,2,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
110,Liberton Road,EH16 5QT,16,55.9230812,-3.1671113,15/10/2010,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
111,House O'Hill Row,EH4 2AW,4,55.9628068,-3.2575141,08/09/2009,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
112,Barnton Loan,EH4 6JQ,14,55.9663258,-3.2825997,,3,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
113,Corslet Crescent,EH14 5HR,10,55.8994997,-3.304657,29/10/2010,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
114,Oxgangs Broadway,EH13 9LQ,5,55.9056481,-3.2227626,25/02/2009,3,2,1,2,1,1,1,2,1,1,1,1,0,1,0,0,0,1,0
115,Wardieburn Place South,EH5 1DX,7,55.977295,-3.2266429,30/06/2009,3,2,1,1,2,2,1,0,0,1,0,1,1,1,0,0,0,1,0
116,Hallcroft Rise,EH28 8RX,10,55.9212899,-3.3901983,,3,1,1,1,1,2,1,0,0,1,1,1,0,1,0,0,0,0,0
117,Broad Wynd,EH6 6QZ,8,55.9756477,-3.1696753,08/09/2009,2,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,1
118,Buckstone Green,EH10 6UF,5,55.9062104,-3.2006348,28/04/2008,3,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
