Walkers Wynd,28/04/2008,2,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
Admiral Terrace,17/09/2008,2,1,1,2,1,2,1,0,0,1,1,1,1,1,0,0,0,0,0
Braid Hills Cres,,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Bramble Drive,28/04/2010,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Hyvot Mill Drive,26/04/2010,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Jane Terrace,18/08/2008,2,1,1,1,3,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Marchbank Way,27/01/2009,3,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
The Crescent (Morningside Rd),17/09/2008,3,1,1,1,1,3,1,0,0,0,1,0,1,1,0,0,0,0,0
Meggetland View,10/06/2010,3,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Barnton Park Crescent ,12/06/2009,3,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
Cadiz Street,13/04/2009,2,2,1,1,2,2,1,0,0,1,1,1,1,1,0,1,0,1,0
South East Lane,,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Newmills Road,21/10/2009,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Veitchs Square,28/04/2008,2,1,1,1,2,2,1,1,0,1,1,1,0,1,0,0,0,0,0
Greendykes Loan,24/06/2008,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Newmains Farm La,,3,1,1,2,3,3,1,0,0,1,0,0,0,1,0,0,0,0,0
Upper Damside,28/04/2008,3,1,1,1,2,2,1,0,0,1,1,0,1,1,0,1,0,0,0
Hillwood Road,28/04/2010,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Cba,,3,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Glenogle Road,02/02/2011,2,1,1,1,2,3,1,0,0,1,0,0,0,1,0,0,0,0,0
Thornville Terrace,28/04/2008,2,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
High School Wynd,18/08/2008,2,1,1,1,2,1,1,0,0,1,1,1,0,1,0,0,0,0,0
Succoth Gardens,27/01/2011,3,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0
Kingsknowe Park,09/09/2009,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Telford Gardens ,11/06/2010,3,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0
Beach Lane,07/04/2008,2,1,1,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Royal Park Terrace,26/10/2010,2,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0
Brighouse Park Cross,28/04/2010,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
West Mains Road,17/12/2009,3,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Muirhouse Parkway,,2,3,3,3,2,2,1,0,0,1,1,1,1,1,0,1,0,1,0
Hill Square,25/02/2009,2,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Monkbarns Gardens,08/09/2009,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
