Rillbank Crescent	EH9 1LJ	15	55.9393939	-3.1896887	
Spittal Street	EH3 9AR	11	55.9462207	-3.2031494	
Dalkeith Road	EH16 5AH	15	55.9352504	-3.1689161	
Drum Brae Gardens	EH12 8SY	3	55.9486438	-3.2936983	
Gladstone Place	EH6 7LX	13	55.9699043	-3.1591206	
Forkenford	EH16 4EZ	15	55.936412	-3.1442467	
Bonnington Avenue	EH6 5QH	12	55.972138	-3.1880854	
Mcleod Street	EH11 2ND	7	55.9395389	-3.2308777	
Durar Drive	EH4 7HW	3	55.952542	-3.2913325	
Kyle Place	EH7 5XH	11	55.956651	-3.1715014	
Fairbrae	EH11 3GZ	7	55.9270074	-3.27284	
Westfield Court	EH11 2RH	7	55.9369865	-3.2425772	
Meadowbank Terrace	EH8 7AJ	14	55.9547911	-3.1562781	
Albany Lane	EH1 3QP	11	55.9576799	-3.1911016	
Cammo Brae	EH4 8ET	1	55.9594634	-3.3142107	
South Mellis Park	EH8 7TP	14	55.9536473	-3.1381538	
Lasswade Road	EH17 8JA	16	55.9036484	-3.1480282	
Silverknowes Court	EH4 5NP	1	55.9697765	-3.2694854	
Parkhead Loan	EH11 4RE	7	55.9246062	-3.2701037	
Riddles Close	EH1 3EG	11	55.953252	-3.188267	
Rannoch Place	EH4 7HH	3	55.9550245	-3.2845449	
Thomson Grove	EH14 5HZ	2	55.9006913	-3.301459	
Rosebery Avenue	 South Queensferry	EH30 9JD	1	55.9859905	-3.3924151
Newington Road	EH9 1QU	15	55.9382354	-3.1787945	
Liberton Road	EH16 5QT	16	55.9230812	-3.1671113	
House O'Hill Row	EH4 2AW	5	55.9628068	-3.2575141	
Barnton Loan	EH4 6JQ	1	55.9663258	-3.2825997	
Corslet Crescent	EH14 5HR	2	55.8994997	-3.304657	
Oxgangs Broadway	EH13 9LQ	8	55.9056481	-3.2227626	
Wardieburn Place South	EH5 1DX	4	55.977295	-3.2266429	
Hallcroft Rise	EH28 8RX	2	55.9212899	-3.3901983	
Broad Wynd	EH6 6QZ	13	55.9756477	-3.1696753	
Buckstone Green	EH10 6UF	8	55.9062104	-3.2006348	
Salvesen Street	EH4 5JX	4	55.9754122	-3.2554493	
Craighouse Avenue	EH10 5LN	10	55.9240201	-3.2228475	
Strachan Gardens	EH4 3RY	5	55.957944	-3.2611173	
