Street Name,Date,Time,Grade,Zone,Dogfoul,Vandalism,Graffiti,Weeds,Detritus,Fly Posting,Bin Count,Number Overflowing,Smoking,Drinks,Confectionery,Fast Food,Pedestrian Individual,Business,Domestic,Construction,Animal Faeces,Other
REDFORD PLACE,18/08/2008,11:15,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
ROULL ROAD,18/08/2008,11:20,B,3,1,1,1,3,3,1,0,0,1,1,0,0,1,0,0,0,0,0
SAUGHTON MAINS STREET,18/08/2008,11:30,B,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,1,0,0
SILVERKNOWES COURT,18/08/2008,11:45,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
SILVERKNOWES PLACE,18/08/2008,12:00,B,3,2,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,1,0
SOUTH GILLSLAND ROAD,18/08/2008,13:00,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SPYLAW BANK ROAD,18/08/2008,13:10,A,3,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
STENHOUSE AVENUE,18/08/2008,13:20,C,3,1,1,1,3,3,1,0,0,1,0,1,0,1,0,0,0,0,0
STEWART PLACE,18/08/2008,13:40,B,3,1,1,1,2,2,1,0,0,1,0,1,0,1,1,1,1,1,1
SWANSTON ROAD,18/08/2008,13:45,B,3,1,1,1,3,3,1,0,0,1,1,0,1,1,0,0,0,0,0
STONEYCROFT ROAD,18/08/2008,14:00,B,4,1,1,1,3,3,1,0,0,0,1,0,0,1,0,0,0,0,0
TORDUFF ROAD,18/08/2008,14:20,B,4,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Broomhouse Gardens East,14/10/2008,09:15,B,2,2,1,1,2,2,1,0,0,1,0,0,1,1,0,0,0,1,0
Murieston Place,14/10/2008,09:30,C,2,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Northcote Street,14/10/2008,09:40,B,2,1,1,1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0
Gilmore Park,14/10/2008,10:05,C,2,1,1,3,3,2,1,0,0,1,1,1,1,1,0,0,0,0,0
Harrison Place,14/10/2008,09:50,C,2,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Shaftesbury Park,14/10/2008,09:55,B,3,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0
Hallcroft Gardens,14/10/2008,13:00,B,3,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,1
Calder Place,14/10/2008,13:20,B,3,1,2,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Sighthill Park,14/10/2008,13:30,B,3,1,1,1,2,2,1,0,0,1,1,1,1,1,0,0,0,0,0
Hailes Park,14/10/2008,13:40,B,3,1,1,1,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0
Peatville Terrace,14/10/2008,13:45,B,3,1,1,1,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0
Baberton Mains Wynd,14/10/2008,11:45,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Redford Road,15/10/2008,11:10,B,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Torduff Road,15/10/2008,11:30,B,4,1,1,1,1,2,1,0,0,1,1,0,1,1,0,0,0,0,0
Dreghorn Park,15/10/2008,11:20,B,3,1,1,1,3,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Galachlaw Shot,15/10/2008,11:00,B,3,1,1,1,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0
Newton Street,15/10/2008,09:20,D,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0
Newmills Road,15/10/2008,12:30,B,4,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Dalmahoy Crescent,14/10/2008,12:40,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Larchfield,14/10/2008,12:50,B,3,1,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Stewart Place,14/10/2008,12:20,B,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Kirkgate Currie,14/10/2008,13:00,B,4,1,1,1,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0
Bowling Green Road,21/10/2008,10:52,B,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Kerr Street,21/10/2008,08:15,B,2,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Arrol Place,21/10/2008,10:48,B,3,1,1,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Braehead Drive,21/10/2008,11:10,B,3,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Corbiehill Road,21/10/2008,10:05,B,3,2,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0
Dundas Place,21/10/2008,10:50,A,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
High Street South Queensferry,21/10/2008,10:23,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ingarvie Court,21/10/2008,10:00,B,3,1,1,1,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0
John Mason Court,21/10/2008,10:33,B,3,1,1,1,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0
Loch Road,21/10/2008,10:30,B,3,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Path Brae,21/10/2008,11:00,B,3,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
Bankhead Road,21/10/2008,10:15,B,4,2,1,1,1,2,1,0,0,0,1,0,0,1,0,0,0,1,0
Broomlea Crescent,21/10/2008,11:35,B,3,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Craigleith Avenue South,21/10/2008,09:00,B,3,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Craigleith Drive,21/10/2008,09:00,B,3,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Hillview Crescent,21/10/2008,11:25,A,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Murrayfield Road,21/10/2008,08:55,B,3,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Stuart Wynd,21/10/2008,11:15,B,3,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Craigmount Gardens,21/10/2008,11:20,B,3,1,1,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Nigel Loan,09/10/2008,10:55,B,3,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Moredun Dykes Road,09/10/2008,11:23,B,3,1,1,1,3,2,1,0,0,1,0,1,0,1,0,0,1,0,0
Howdenhall Crescent,09/10/2008,11:32,B,3,2,1,1,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
Mortonhall Park Terrace,09/10/2008,11:39,A,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Hawkhead Grove,09/10/2008,11:47,A,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Priestfield Crescent,09/10/2008,11:57,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Kirkhill Drive,09/10/2008,12:04,B,3,1,1,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Niddriemill Avenue,09/10/2008,14:32,B,2,1,1,1,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0
Meadowfield Gardens,09/10/2008,14:43,B,3,1,1,1,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0
Northfield Crescent,09/10/2008,14:48,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Glenlee Gardens,09/10/2008,14:52,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
St Catherines Place,09/10/2008,15:03,B,3,1,1,1,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0
Grange Terrace,09/10/2008,15:11,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Falcon Avenue,09/10/2008,15:15,B,3,2,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,1,0
Maxwell Street,09/10/2008,15:19,B,2,1,1,1,2,2,1,2,0,1,0,0,0,1,0,0,0,0,0
Cluny Place,09/10/2008,15:23,B,3,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Findlay Avenue,10/10/2008,08:30,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Sleigh Drive,10/10/2008,08:35,B,3,2,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,1,0
Bath Street,10/10/2008,09:15,B,3,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
Potterrow,10/10/2008,09:50,B,1,1,1,1,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0
Dublin Meuse,31/10/2008,10:56,B,1,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Nelson Street,31/10/2008,11:00,B,1,1,1,1,2,2,1,0,0,1,1,0,1,1,0,0,0,0,0
Gayfield Square,31/10/2008,11:10,C,1,1,1,2,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Alva Street,31/10/2008,11:47,B,1,1,1,1,2,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Lothian Road,31/10/2008,11:58,B,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
Dinnies Close,31/10/2008,13:35,B,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
St Andrews Square,31/10/2008,14:10,A,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Montgomery Street,22/10/2008,10:30,C,2,1,1,1,2,2,1,0,0,1,1,1,0,1,0,1,0,0,0
Montgomery Street,22/10/2008,10:35,B,2,1,1,1,2,2,1,0,0,1,1,0,1,1,0,0,0,0,0
Belgrave Crescent Lane,22/10/2008,11:00,B,3,1,1,2,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Orchard Place,22/10/2008,11:05,B,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Easter Drylaw Drive,22/10/2008,11:15,B,3,1,1,1,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0
Easter Drylaw Drive,22/10/2008,11:20,B,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Salveson Grove,22/10/2008,11:40,B,3,1,1,1,1,2,1,0,0,1,1,0,0,1,1,0,0,0,0
Grierson Gardens,22/10/2008,12:05,B,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Afton Terrace,22/10/2008,12:10,B,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Rose Park,22/10/2008,12:20,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Agnew Terrace,22/10/2008,12:35,A,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Kinghorn Place,22/10/2008,12:40,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Industry Lane,22/10/2008,12:45,B,2,2,2,1,2,2,1,0,0,1,1,1,1,1,0,0,0,1,0
Citadel Street,22/10/2008,13:00,B,2,1,2,1,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0
Great Junction Street,22/10/2008,13:10,B,2,1,2,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Great Junction Street,22/10/2008,13:15,B,2,2,2,1,2,2,1,2,0,1,1,0,1,1,1,0,0,1,0
Cables Wynd,22/10/2008,13:20,B,2,1,1,1,2,2,1,0,0,1,0,1,0,1,1,0,1,0,0
Spiers Place,22/10/2008,13:25,B,3,2,2,1,2,2,1,0,0,1,1,0,0,1,0,0,0,1,0
Henderson Gardens,22/10/2008,13:30,B,2,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Linksview House,22/10/2008,13:35,B,2,2,2,1,2,2,1,0,0,1,1,1,0,1,0,0,0,1,0
Burgess Street,22/10/2008,13:40,B,3,2,2,1,2,2,1,0,0,1,1,0,0,1,0,0,0,1,0
Crown Street,22/10/2008,13:50,C,2,2,2,1,2,2,1,0,0,1,1,1,1,1,1,1,0,1,0
Restalrig Park,22/10/2008,14:30,C,3,1,2,1,2,2,1,0,0,1,1,1,0,1,0,1,0,0,0
Brae Park Road,09/12/2008,11:15,B,3,1,1,1,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0
St. Ninians Road,09/12/2008,11:40,B,3,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0
Gordon Road,09/12/2008,11:35,B,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Carrick Knowe Hill,09/12/2008,11:45,B,3,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Silverknowes Bank,09/12/2008,11:25,A,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Wester Coates Place,09/12/2008,10:00,B,3,1,1,1,2,3,1,0,0,0,0,1,0,1,0,0,0,0,0
West Craigs Crescent,09/12/2008,10:10,B,3,1,1,1,2,3,1,0,0,0,1,0,0,1,1,0,0,0,0
Turnhouse Road,09/12/2008,10:13,B,4,1,1,1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0
North Gyle Road,09/12/2008,10:20,B,3,1,1,1,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0
Echline Drive,09/12/2008,10:40,B,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Scotstoun Avenue,09/12/2008,10:45,A,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Granton Terrace,14/12/2008,11:00,C,3,2,1,1,2,3,1,3,0,1,1,1,1,1,0,0,0,1,1
Muirhouse View,14/12/2008,11:30,C,2,1,1,1,2,2,1,3,0,1,1,1,1,1,1,0,1,0,1
North Junction Street,14/12/2008,12:00,B,2,2,1,1,2,2,1,2,0,1,1,1,1,1,0,0,0,1,0
Claremont Road,14/12/2008,13:20,B,2,1,1,1,2,2,1,1,0,1,0,1,0,1,0,0,0,0,1
Hopetoune Crescent,14/12/2008,15:00,B,2,1,1,1,2,2,1,1,0,1,0,1,0,1,0,0,0,0,0
Annadale Street Lane,14/12/2008,14:30,B,2,1,1,2,2,2,1,1,0,1,0,0,1,1,1,0,1,0,1
Montgomery Place West,14/12/2008,14:00,B,2,2,1,2,2,2,2,1,0,1,0,1,1,1,0,0,0,1,1
Duke Street,14/12/2008,12:45,B,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1
Bell Place,14/12/2008,15:45,B,2,1,1,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,1
Learmonth Terrace Lane,14/12/2008,09:00,D,2,1,1,1,4,4,1,4,0,1,1,1,1,1,1,1,1,0,1
Orchard Brae,14/12/2008,09:15,B,2,1,1,1,2,2,1,2,0,1,0,1,0,1,0,0,0,0,0
Orchard Brae West,14/12/2008,09:30,B,3,1,1,1,2,2,1,2,0,0,1,1,0,1,0,0,0,0,0
Bangholm Park,14/12/2008,10:00,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Boswall Gardens,14/12/2008,10:30,B,3,1,1,1,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0
Wardieburn Place West,14/12/2008,10:45,C,3,2,2,2,3,2,1,3,0,1,1,1,1,1,0,1,0,1,1
East Parkside,16/12/2008,09:05,A,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Lambs Close,16/12/2008,09:20,B,2,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Panmure Place,16/12/2008,10:00,B,2,1,1,1,1,2,1,0,0,0,1,1,0,1,0,0,1,0,0
Richmond Place,16/12/2008,11:20,C,2,1,1,1,1,2,1,0,0,1,1,1,1,1,0,0,0,0,0
Southhouse Broadway,16/12/2008,14:00,B,2,1,1,1,1,2,1,2,0,1,0,1,0,1,0,0,0,0,0
Alvanley Terrace,16/12/2008,10:15,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Candlemakers Crescent,16/12/2008,13:10,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cluny Drive,16/12/2008,10:35,B,3,1,1,1,1,3,1,0,0,0,1,1,0,1,0,0,0,0,0
Dryden Place,16/12/2008,11:05,A,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
East Preston Street Lane,16/12/2008,09:20,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Greenhill Terrace,16/12/2008,10:50,B,3,1,1,1,1,3,1,0,0,0,1,1,0,1,0,0,1,0,0
Hatton Place,16/12/2008,09:35,B,3,1,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Moredun Dykes Road,16/12/2008,13:30,B,3,2,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0
Moredunvale View Path,16/12/2008,13:50,B,3,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0
Mortonhall Park View,16/12/2008,14:10,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Savile Terrace,16/12/2008,10:40,B,3,1,1,1,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0
Suffolk Road,16/12/2008,10:30,B,3,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Wolrige Road,16/12/2008,14:30,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Kings Haugh,16/12/2008,11:25,B,3,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0
Shandon Terrace,16/12/2008,08:40,B,3,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Winton Park,16/12/2008,08:57,B,3,1,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Torduff Road,16/12/2008,09:15,B,3,1,1,1,2,2,1,0,0,0,1,1,0,1,0,0,1,0,0
Thomson Grove,16/12/2008,09:32,B,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Turner Avenue,16/12/2008,09:40,B,3,1,1,1,2,2,1,0,0,0,1,0,1,1,0,0,0,0,0
Newmills Road,16/12/2008,09:45,B,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Baileyfield Crescent,16/12/2008,10:00,B,3,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Durham Place East,16/12/2008,10:07,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Magdalene Gardens,16/12/2008,10:15,B,3,2,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,1,0
Duddingston Row,16/12/2008,10:21,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Peffer Place,16/12/2008,10:30,B,3,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0
Kings Haugh,16/12/2008,10:40,A,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Wisp Green,16/12/2008,10:50,B,3,2,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,1,0
Joppa Park,16/12/2008,11:10,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Meadowfield Avenue,16/12/2008,12:30,B,3,2,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0
Queens Park Avenue,16/12/2008,12:42,B,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Piershill Square East,16/12/2008,12:58,C,3,1,1,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0
Sleigh Gardens,16/12/2008,13:10,B,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Cathedral Lane,05/12/2008,10:56,B,1,1,1,2,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Frederick Street,05/12/2008,11:15,B,1,1,1,1,1,1,1,2,1,1,0,1,0,1,1,0,0,0,0
Heriot Place,05/12/2008,10:15,B,1,1,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0
North Grays Close,05/12/2008,10:44,C,1,1,1,3,1,2,1,0,0,1,1,1,1,1,0,0,0,0,0
Spittal Street,05/12/2008,10:25,B,1,1,1,1,1,2,1,1,0,1,0,1,0,1,0,0,0,0,0
Park Terrace,09/01/2009,09:30,B,3,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0
Restalrig Crescent,09/01/2009,10:05,B,3,2,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
Breadalbane Street,09/01/2009,10:25,B,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
New Broompark,09/01/2009,10:46,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Queensferry Road/Dean Bridge,09/01/2009,11:00,A,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Belhaven Terrace,09/01/2009,13:30,B,3,2,1,1,1,2,1,1,0,1,0,0,1,1,0,0,0,1,0
Leadervale Terrace,09/01/2009,13:48,B,3,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Marchbank Way,27/01/2009,09:15,B,3,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Corslet Terrace,27/01/2009,09:36,B,3,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0
Calderview,27/01/2009,09:53,B,3,2,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0
Parkhead Grove,27/01/2009,10:07,B,3,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
Broomhouse Terrace,27/01/2009,10:25,C,3,2,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,1,0
Robb's Loan Grove,27/01/2009,10:46,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Eltringham Terrace,27/01/2009,10:55,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gorgie Cottages,27/01/2009,11:09,B,2,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Buskstone Road,27/01/2009,12:55,B,3,1,1,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Colmstone Gate,27/01/2009,13:12,B,3,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Harrison Gardens,27/01/2009,13:35,B,2,2,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0
Grove Street,27/01/2009,13:58,C,2,1,1,1,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0
Douglas Terrace,27/01/2009,14:20,B,2,1,1,1,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0
Lochend Road,27/01/2009,15:04,B,4,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
West End Place,25/02/2009,,B,2,2,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,1,0
West Pilton Lea,25/02/2009,,B,2,2,1,1,1,2,1,0,0,1,1,1,0,1,0,0,0,1,0
Ardshiel Avenue,25/02/2009,,B,3,2,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,1,0
Barton Park,25/02/2009,,A,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Beechmount Crescent,25/02/2009,,B,3,1,1,1,1,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Bogsmill Road,25/02/2009,,B,3,2,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0
Bridge Road,25/02/2009,,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Burdiehouse Square,25/02/2009,,B,3,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Canaan Lane,25/02/2009,,B,3,1,1,1,1,2,1,1,1,1,0,1,0,1,0,0,0,0,0
Cherry Tree Park,25/02/2009,,A,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Cherry Tree Park,25/02/2009,,A,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Colliesdene Terrace,25/02/2009,,A,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Craigentinny Avenue,25/02/2009,,B,3,3,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0
Craigentinny Avenue,25/02/2009,,A,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Craigmount Terrace,25/02/2009,,A,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Craigs Drive,25/02/2009,,C,3,1,1,1,1,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Drum Brae Gardens,25/02/2009,,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
East Terrace,25/02/2009,,B,3,1,1,1,1,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Echline Place,25/02/2009,,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Fernieside Gardens,25/02/2009,,B,3,1,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Gillespie Crescent,25/02/2009,,B,3,1,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Glenvarloch Crescent,25/02/2009,,B,3,2,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0
Greenend Gardens,25/02/2009,,A,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton Terrace,25/02/2009,,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Howdenhall Drive,25/02/2009,,B,3,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
Howdenhall Drive,25/02/2009,,B,3,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
Hyvot Court,25/02/2009,,B,3,1,1,1,1,3,1,0,0,1,0,0,0,1,0,0,1,0,0
Kaimes Road,25/02/2009,,B,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Lasswade Road,25/02/2009,,A,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Lasswade Road,25/02/2009,,B,3,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Lasswade Road,25/02/2009,,B,3,1,1,1,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0
Lasswade Road,25/02/2009,,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Liberton Road,25/02/2009,,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Lochend Road,25/02/2009,,B,3,2,1,1,2,1,1,0,0,1,0,1,0,1,0,0,0,1,0
Lochend Road,25/02/2009,,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Longstone Grove,25/02/2009,,C,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Malleny Avenue,25/02/2009,,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Marion Avenue,25/02/2009,,B,3,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0
Montagu Terrace,25/02/2009,,C,3,1,1,1,2,2,1,1,0,1,1,1,1,1,0,0,0,0,0
Morven Street,25/02/2009,,B,3,2,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,1,0
Murrayfield Gardens,25/02/2009,,B,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Newmains Farm Lane,25/02/2009,,B,3,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0
