Street Name,Date,Time,Grade,Zone,Dogfoul,Vandalism,Graffiti,Weeds,Detritus,Fly Posting,Bin Count,Number Overflowing,Smoking,Drinks,Confectionery,Fast Food,Pedestrian Individual,Business,Domestic,Construction,Animal Faeces,Other
Juniper Grove,28/04/2008,14:25,A,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Pentland Avenue,28/04/2008,14:43,B,3,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
Pentland View Court,28/04/2008,15:05,B,3,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0
Craigpark Crescent,28/04/2008,15:45,B,3,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Silverknowes Grove,01/05/2008,12:08,A,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Craigcrook Square,01/05/2008,12:55,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Craigpark Crescent,01/05/2008,12:40,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
East Barnton Avenue,01/05/2008,11:45,B,3,1,1,1,2,2,1,0,0,1,0,1,1,1,0,0,0,0,0
North Gyle Road,01/05/2008,13:01,B,3,1,1,1,3,2,1,0,0,1,0,0,0,1,0,0,0,0,0
East Market Street,12/05/2008,13:48,A,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
College Wynd,12/05/2008,14:10,B,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Browns Place,12/05/2008,14:20,B,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
Grindlay Street,12/05/2008,14:30,B,1,1,1,1,1,1,1,2,0,1,0,0,0,1,0,0,0,0,0
Baxters Place,12/05/2008,14:50,B,1,1,1,1,1,1,1,2,0,1,0,0,0,1,0,0,0,0,0
South Ettrick Road,22/04/2008,11:20,A,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Mortonhall Road,22/04/2008,11:45,A,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Nellfield,22/04/2008,12:05,B,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Mayfield Gardens Lane,22/04/2008,12:20,B,4,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Craigour Loan,22/04/2008,13:30,B,3,1,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Mentone Gardens,22/04/2008,13:55,B,3,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
Broomhall Bank,17/06/2008,10:15,B,3,1,1,1,3,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Ellersly Road,17/06/2008,08:40,A,3,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Ormidale Terrace,17/06/2008,09:00,B,2,1,1,1,3,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Ravelston Terrace,17/06/2008,09:10,B,3,1,1,1,3,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Blinkbonny Grove,17/06/2008,09:20,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Carricknowe Loan,17/06/2008,10:00,B,3,1,1,1,3,2,1,0,0,1,1,0,0,1,0,0,0,0,1
Corstorphine High Street,17/06/2008,12:00,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
South Beechwood,17/06/2008,12:20,A,3,1,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Craigs Drive,17/06/2008,12:30,B,3,1,1,1,3,2,1,0,0,1,1,0,0,1,0,0,0,0,0
