87,Rillbank Crescent,EH9 1LJ,17,55.9393939,-3.1896887
88,Spittal Street,EH3 9AR,6,55.9462207,-3.2031494
89,Dalkeith Road,EH16 5AH,17,55.9352504,-3.1689161
90,Drum Brae Gardens,EH12 8SY,9,55.9486438,-3.2936983
91,Gladstone Place,EH6 7LX,8,55.9699043,-3.1591206
92,Forkenford,EH16 4EZ,17,55.936412,-3.1442467
93,Bonnington Avenue,EH6 5QH,12,55.972138,-3.1880854
94,Mcleod Street,EH11 2ND,13,55.9395389,-3.2308777
95,Durar Drive,EH4 7HW,9,55.952542,-3.2913325
96,Kyle Place,EH7 5XH,6,55.956651,-3.1715014
97,Fairbrae,EH11 3GZ,13,55.9270074,-3.27284
98,Westfield Court,EH11 2RH,13,55.9369865,-3.2425772
99,Meadowbank Terrace,EH8 7AJ,1,55.9547911,-3.1562781
100,Albany Lane,EH1 3QP,6,55.9576799,-3.1911016
101,Cammo Brae,EH4 8ET,14,55.9594634,-3.3142107
102,South Mellis Park,EH8 7TP,1,55.9536473,-3.1381538
103,Lasswade Road,EH17 8JA,16,55.9036484,-3.1480282
104,Silverknowes Court,EH4 5NP,14,55.9697765,-3.2694854
105,Parkhead Loan,EH11 4RE,13,55.9246062,-3.2701037
106,Riddles Close,EH1 3EG,6,55.953252,-3.188267
107,Rannoch Place,EH4 7HH,9,55.9550245,-3.2845449
108,Thomson Grove,EH14 5HZ,10,55.9006913,-3.301459
109,Newington Road,EH9 1QU,17,55.9382354,-3.1787945
110,Liberton Road,EH16 5QT,16,55.9230812,-3.1671113
111,House O'Hill Row,EH4 2AW,4,55.9628068,-3.2575141
112,Barnton Loan,EH4 6JQ,14,55.9663258,-3.2825997
113,Corslet Crescent,EH14 5HR,10,55.8994997,-3.304657
114,Oxgangs Broadway,EH13 9LQ,5,55.9056481,-3.2227626
115,Wardieburn Place South,EH5 1DX,7,55.977295,-3.2266429
116,Hallcroft Rise,EH28 8RX,10,55.9212899,-3.3901983
117,Broad Wynd,EH6 6QZ,8,55.9756477,-3.1696753
118,Buckstone Green,EH10 6UF,5,55.9062104,-3.2006348
119,Salvesen Street,EH4 5JX,7,55.9754122,-3.2554493
120,Craighouse Avenue,EH10 5LN,3,55.9240201,-3.2228475
121,Strachan Gardens,EH4 3RY,4,55.957944,-3.2611173
122,Burnets Close,EH1 1QU,6,55.9497514,-3.1889794
123,West Werberside,EH4 1SX,4,55.9671532,-3.2301019
124,Kerr Street,EH3 6EG,4,55.957626,-3.2080435
125,Academy Street,EH6 7EF,8,55.9705437,-3.1700379
126,Meadowfield Gardens,EH8 7NT,1,55.9441421,-3.1425291
127,Stuart Wynd,EH12 8XU,9,55.9488362,-3.3035919
128,St Leonards Bank,EH8 9SQ,17,55.9429464,-3.1763184
129,Carmel Road,EH29 9DD,14,55.9552028,-3.4087083
130,Rowantree Grove,EH14 5AT,10,55.8936329,-3.3246973
131,Seacot,EH6 7QG,8,55.9682664,-3.1501905
132,Redford Walk,EH13 0AG,5,55.9064085,-3.2430596
133,Currievale Drive,EH14 5RP,10,55.89691,-3.3240963
134,Alnwickhill Grove,EH16 6YA,16,55.9052456,-3.1712442
135,Deanpark Court,EH14 7EG,10,55.879687,-3.3453398
136,Corstorphine House Terrace,EH12 7AD,15,55.9415224,-3.2799596
137,Browns Place,EH1 2HX,6,55.9465744,-3.1969364
138,Brandon Street,EH3 5DX,4,55.9613423,-3.2014541
139,Carricknowe Loan,EH12 7DZ,15,55.9345272,-3.2747056
140,Woodhall Avenue0,EH14 5BU,10,55.9057712,-3.2819139
