Gilmore Place Lane
Meadowfield Terrace
North Bank Street
Breadalbane Street
Greenend Gardens
Pinkhill
Cockburn Street
Kilchurn Court
Balgreen Road
Walker Drive
Dinnies Close
Buckstone Wynd
Haddon'S Court
Baberton Mains Row
Rankin Avenue
Carrubbers Close
Fountainhall Road
Turner Avenue
Scotland Street Lane
Churchill Place
Farrer Terrace
Darly Gait
Queens Road
Murdoch Terrace
Hampton Place
Breadalbane Terrace
Brunstane Road
Allan Park
Queens Park Avenue
Carlton Street
Morningside Road
Calton Hill Footpath 22-26
Mount Grange
Woodhall Bank
East Preston Street Lane
Corbiehill Road
Queen'S Road
Rose Street South Lane
Trinity Grove
Murieston Crescent
East Pilton Farm Wynd
Horse Wynd
Villa Road
Underpass, Calder/Calder View
Henderson Gardens
Albert Street
Ramsay Gardens
Torrance Park
Hillwood Crescent Ratho
Bridge Road
Pilton Drive
Hillsland Gardens
Bryce Crescent
Caledonian Road
Lochend Road
Montpelier Park
Potterow
Coillesdene Drive
Rosebank Gardens
Spybank Law Road
Mid Gillsland Road
Calder Drive
Granville Terrace
Boswall Loan
Muirhouse Avenue
Niddrie House Park
Buckstone Neuk
Orwell Place
Clerwood Bank
Loaning Road
Seafield Way
Cadogan Road
Gordon Road
Alva Street
Leopold Place
Harrison Place
Oxgangs Terrace
Abercorn Crescent
Keith Row
Murrayburn Road
Taylor Gardens
Southhouse Loan
Fernieside Gardens
Silverknowes Grove
Shandon Place
Liberton Drive
Easter Drylaw Drive
East Barnton Avenue
South Maybury St
Parkgrove View
Rannoch Grove
St. Clair Road
East Hermitage
Oxgangs Brae
Craigs Drive
North Fort Street
Cathcart Place
Wheatfield Road
Broomhouse Medway
West Montgomery Place
Stewart Terrace
London Street
Newbattle Terrace
Cammo Gardens
Moredun Park Loan
Easter Drylaw Avenue 
Pilrig Heights
Logie Green Gardens
East Castle Road
Claverhouse Drive
Comiston Place
Durham Place East
Regent Place
Temple Park Crescent
Cowgatehead
Bughtlin Park
Forteviot House
Cleekim Drive
East Parkside
Corstophine Bank Avenue 
Craigleith Road
Silverknowes Place
Pennywell Medway
Annadale Street Lane
Barnton Park Drive
Fillyside Avenue
Seafield Street
Bingham Way
Wellington Place
Fountain Close
Quarrybank End
South Oswald Road
Miller Row
Oxgangs Row
Keith Crescent
Redhall Drive 
West Maitland St
Coltbridge Avenue
Linksview House
New Tower Place
Laichpark Place
Viewcraig Gardens
Craigour Loan
Hillpark Court
Lochend Road South
Oxgangs Farm Drive
Shnadon Street
Muirhouse View
Ryehill Grove
Sciennes Road
Duddingston Row
Smiths Place
Langton Road
Graham Street
Warrender Park Crescent
Hailes Park
Scotstoun Green
Brighton Place
Mortonhall Park Way
Silverknowes View
Canon Lane
Sydney Terrace
Lower London Road
Addiston Park
Boroughloch
Clermiston Green
Braehead Road
West Pilton Lea
Southhouse Broadway
Dreghorn Park
Crammond Crescent
Craigcrook Square
Broomhouse Gardens East
Ferniehill Terrace
Belmont Road
Grosvenor Gardens
Comely Green Place
Oxgangs Street
Marion Avenue
Riccarton Crescent
Kinellan Road
White Dales
Firrhill Drive
Morham Park
Hallcroft Gardens
Valleyfield Street
Lothian Road
Corstorphine High Street
Bailie Place
Capelaw Road
Orchard Drive 
Hillpark Way
High Buckstone
Buckstone Gate
Caiystane Drive
Craigentinny Avenue
Wilkieston Road Ratho
Warden'S Close
Tweeddale Court
Hope Park Crescent
Stennis Gardens
North Gyle Avenue
Alnwickhill Loan
Frogston Grove
Buckstone Shaw
Ann Street
Buckstone Terrace
